r_0h_cm,C_0h,r_6h_cm,C_6h,r_12h_cm,C_12h,r_24h_cm,C_24h,r_48h_cm,C_48h,r_event_cm,C_event
0.0,2.55,0.0,1.7195880367453145,0.0,0.7376689331140169,0.0,0.2851137001880641,0.0,0.1561465723705671,0.0,0.15
0.1,2.55,0.06870000000000001,1.716103290741662,0.062400000000000004,0.7363606788347485,0.060200000000000004,0.2847697839909275,0.06,0.15601658670079144,0.06,0.14987852131513096
0.2,2.55,0.13740000000000002,1.7056610740465814,0.12480000000000001,0.7324390512578632,0.12040000000000001,0.2837373311578453,0.12,0.15562592327014016,0.12,0.1495133988331055
0.30000000000000004,2.55,0.20610000000000003,1.6882974201654162,0.18720000000000003,0.7259133099273928,0.1806,0.2820141678395732,0.18000000000000002,0.1549724289155283,0.18000000000000002,0.14890254078948875
0.4,2.55,0.27480000000000004,1.664072260252896,0.24960000000000002,0.7167983901404135,0.24080000000000001,0.2795964614931862,0.24,0.1540523987291488,0.24,0.14804234946695538
0.5,2.55,0.3435,1.6330691536857074,0.312,0.7051141209706964,0.301,0.2764783856908411,0.3,0.1528603894535758,0.3,0.14692754238046635
0.6000000000000001,2.55,0.41220000000000007,1.5953947414425766,0.37440000000000007,0.6908840517521351,0.3612,0.2726516049619381,0.36000000000000004,0.15138893167791526,0.36000000000000004,0.14555087647444465
0.7000000000000001,2.55,0.4809000000000001,1.5511777401243019,0.4368,0.6741337909519423,0.42140000000000005,0.2681045235607155,0.42000000000000004,0.14962810835103116,0.42000000000000004,0.14390274418724308
0.8,2.55,0.5496000000000001,1.5005672185571584,0.49920000000000003,0.6548887036178533,0.48160000000000003,0.2628212079938645,0.48,0.1475649473793267,0.48,0.14197059130377346
0.9,2.55,0.6183000000000001,1.4437297932229818,0.5616,0.6331707208220505,0.5418,0.25677983789209974,0.54,0.14518254399685582,0.54,0.13973807575994107
1.0,2.55,0.687,1.3808452180006423,0.624,0.6089938584880535,0.602,0.24995044564272534,0.6,0.14245877383109853,0.6,0.13718383405581425
1.1,2.55,0.7557000000000001,1.3120995802795568,0.6864,0.5823577684123677,0.6622,0.2422915367052501,0.66,0.13936435940412376,0.66,0.13427962779945948
1.2000000000000002,2.55,0.8244000000000001,1.2376748558442638,0.7488000000000001,0.5532381368372864,0.7224,0.2337448645956884,0.7200000000000001,0.13585986711399076,0.7200000000000001,0.13098746486924331
1.3,2.55,0.8931000000000001,1.1577327250387226,0.8112,0.5215717532658923,0.7826,0.22422699645989191,0.78,0.13189083805492627,0.78,0.12725493142639885
1.4000000000000001,2.55,0.9618000000000002,1.072388883567931,0.8736,0.487231993080809,0.8428000000000001,0.21361492561485879,0.8400000000000001,0.1273794455192609,0.8400000000000001,0.12300719401620844
1.5,2.55,1.0305,0.9816705676320515,0.9359999999999999,0.44998571765220774,0.903,0.201719713694363,0.8999999999999999,0.12220914140206716,0.8999999999999999,0.11813228044482472
1.6,2.55,1.0992000000000002,0.8854419615049054,0.9984000000000001,0.40941054911895847,0.9632000000000001,0.18823337692912184,0.96,0.1161935599208127,0.96,0.11245127074462405
1.7000000000000002,2.55,1.1679000000000002,0.7832615865220446,1.0608000000000002,0.3647160542523183,1.0234,0.1726065147077425,1.02,0.1090044409547325,1.02,0.10564921705686386
1.8,2.55,1.2366000000000001,0.6740749379658291,1.1232,0.3142839362122637,1.0836,0.15370206523050958,1.08,0.09996611789678815,1.08,0.09707826406480766
1.9000000000000001,2.55,1.3053000000000001,0.555423308722527,1.1856,0.25408777757003603,1.1438000000000001,0.12837208518209528,1.1400000000000001,0.08720150981938696,1.1400000000000001,0.08494057794229377
2.0,2.55,1.374,0.4206997304501066,1.248,0.16695964704072508,1.204,0.06733666818683921,1.2,0.053014624695981526,1.2,0.052620030980109034
