time_h,temperature_C,air_moisture_kg_per_kg
0.0,28.0,0.01963
0.0166666666666667,28.528,0.02002
0.0333333333333333,29.192,0.02053
0.05,29.684,0.021
0.0666666666666667,30.037,0.02151
0.0833333333333333,30.834,0.02191
0.1,31.293,0.02233
0.116666666666667,31.82,0.02278
0.133333333333333,32.121,0.02325
0.15,32.73,0.02377
0.166666666666667,33.202,0.02428
0.183333333333333,33.879,0.02465
0.2,34.268,0.02506
0.216666666666667,34.806,0.02552
0.233333333333333,35.142,0.02612
0.25,35.524,0.0266
0.266666666666667,36.091,0.02687
0.283333333333333,36.354,0.02732
0.3,37.067,0.02793
0.316666666666667,37.419,0.02826
0.333333333333333,37.882,0.02891
0.35,38.134,0.02921
0.366666666666667,38.767,0.02961
0.383333333333333,39.125,0.03029
0.4,39.458,0.03051
0.416666666666667,39.595,0.03098
0.433333333333333,40.061,0.03137
0.45,40.238,0.03179
0.466666666666667,40.621,0.03219
0.483333333333333,41.166,0.03262
0.5,41.513,0.03307
0.516666666666667,41.918,0.03345
0.533333333333333,41.952,0.03403
0.55,42.263,0.03447
0.566666666666667,42.589,0.03476
0.583333333333333,42.745,0.03513
0.6,42.985,0.03558
0.616666666666667,43.393,0.03609
0.633333333333333,43.534,0.03646
0.65,43.97,0.03653
0.666666666666667,44.102,0.03694
0.683333333333333,44.503,0.03731
0.7,44.663,0.03766
0.716666666666667,44.701,0.03812
0.733333333333333,45.138,0.0384
0.75,45.323,0.03858
0.766666666666667,45.324,0.03903
0.783333333333333,45.462,0.0394
0.8,45.818,0.03954
0.816666666666667,45.739,0.04013
0.833333333333333,45.93,0.04011
0.85,45.999,0.04076
0.866666666666667,46.512,0.0407
0.883333333333333,46.602,0.04128
0.9,46.761,0.04157
0.916666666666667,46.933,0.04187
0.933333333333333,46.912,0.04205
0.95,47.089,0.04229
0.966666666666667,47.008,0.04247
0.983333333333333,47.111,0.04277
1.0,47.485,0.04272
1.01666666666667,47.498,0.04312
1.03333333333333,47.646,0.04333
1.05,47.84,0.04369
1.06666666666667,47.873,0.04373
1.08333333333333,47.926,0.04389
1.1,48.016,0.0442
1.11666666666667,47.977,0.04422
1.13333333333333,47.926,0.04435
1.15,48.199,0.04468
1.16666666666667,48.166,0.04483
1.18333333333333,48.331,0.04491
1.2,48.615,0.04514
1.21666666666667,48.38,0.0453
1.23333333333333,48.357,0.04543
1.25,48.526,0.04561
1.26666666666667,48.59,0.04589
1.28333333333333,48.825,0.04585
1.3,48.827,0.04629
1.31666666666667,48.988,0.04641
1.33333333333333,48.979,0.04633
1.35,48.9,0.04639
1.36666666666667,49.144,0.0466
1.38333333333333,48.87,0.04687
1.4,48.84,0.04689
1.41666666666667,48.913,0.04707
1.43333333333333,49.261,0.04705
1.45,49.169,0.0472
1.46666666666667,49.056,0.04713
1.48333333333333,49.257,0.04744
1.5,49.116,0.04728
1.51666666666667,49.415,0.0476
1.53333333333333,49.321,0.04777
1.55,49.317,0.04751
1.56666666666667,49.304,0.04782
1.58333333333333,49.492,0.04765
1.6,49.384,0.04802
1.61666666666667,49.272,0.04779
1.63333333333333,49.31,0.04827
1.65,49.749,0.04795
1.66666666666667,49.743,0.04841
1.68333333333333,49.66,0.0484
1.7,49.463,0.04836
1.71666666666667,49.83,0.04851
1.73333333333333,49.753,0.04858
1.75,49.739,0.04871
1.76666666666667,49.622,0.04842
1.78333333333333,49.55,0.04864
